[2025-07-26 19:46:32,273: INFO: main: Welcome to our custom log]
[2025-07-26 19:49:18,579: INFO: main: Welcome to our custom log]
[2025-07-27 13:07:37,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-27 13:07:37,156: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-27 13:07:37,161: INFO: common: created directory at: artifacts]
[2025-07-27 13:18:00,383: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-27 13:18:00,386: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-27 13:18:00,389: INFO: common: created directory at: artifacts]
[2025-07-27 13:18:07,340: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-27 13:18:07,347: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-27 13:18:07,349: INFO: common: created directory at: artifacts]
[2025-07-27 13:19:59,789: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-27 13:19:59,791: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-27 13:19:59,793: INFO: common: created directory at: artifacts]
[2025-07-27 13:19:59,795: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-27 13:19:59,796: INFO: 2504845581: Downloading data from https://drive.google.com/file/d/1i0ikX2qMq4R1EyIQLLrQi_YYAWy8fKjf/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-27 13:21:06,545: INFO: 2504845581: Downloaded data from https://drive.google.com/file/d/1i0ikX2qMq4R1EyIQLLrQi_YYAWy8fKjf/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-27 15:06:47,627: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-27 15:06:47,629: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-27 15:06:47,629: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-27 15:06:47,629: INFO: common: created directory at: artifacts]
[2025-07-27 15:06:47,629: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-27 15:06:47,634: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1i0ikX2qMq4R1EyIQLLrQi_YYAWy8fKjf/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-27 15:09:38,510: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1i0ikX2qMq4R1EyIQLLrQi_YYAWy8fKjf/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-27 15:09:43,795: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<< 

 x====================x]
